Epoch: [0][0/203], lr: 0.01000	Time 19.510 (19.510)	Data 15.945 (15.945)	Loss 1.3851 (1.3851)	Prec@1 25.000 (25.000)	Prec@2 50.000 (50.000)
Epoch: [0][20/203], lr: 0.01000	Time 0.502 (1.411)	Data 0.000 (0.759)	Loss 1.0631 (6.6430)	Prec@1 62.500 (41.071)	Prec@2 75.000 (64.881)
Epoch: [0][40/203], lr: 0.01000	Time 0.502 (0.968)	Data 0.000 (0.389)	Loss 2.7884 (5.2017)	Prec@1 12.500 (41.159)	Prec@2 37.500 (65.244)
Epoch: [0][60/203], lr: 0.01000	Time 0.501 (0.816)	Data 0.000 (0.261)	Loss 1.6390 (4.2281)	Prec@1 37.500 (41.393)	Prec@2 75.000 (64.344)
Epoch: [0][80/203], lr: 0.01000	Time 0.502 (0.739)	Data 0.000 (0.197)	Loss 1.5566 (4.1226)	Prec@1 37.500 (41.204)	Prec@2 75.000 (63.735)
Epoch: [0][100/203], lr: 0.01000	Time 0.501 (0.692)	Data 0.000 (0.158)	Loss 1.8255 (3.5999)	Prec@1 25.000 (41.213)	Prec@2 25.000 (63.614)
Epoch: [0][120/203], lr: 0.01000	Time 0.504 (0.661)	Data 0.000 (0.132)	Loss 1.4908 (3.2317)	Prec@1 25.000 (41.012)	Prec@2 62.500 (64.979)
Epoch: [0][140/203], lr: 0.01000	Time 0.502 (0.639)	Data 0.000 (0.113)	Loss 0.9840 (2.9693)	Prec@1 50.000 (40.160)	Prec@2 87.500 (64.805)
Epoch: [0][160/203], lr: 0.01000	Time 0.503 (0.622)	Data 0.000 (0.099)	Loss 0.9217 (2.7609)	Prec@1 75.000 (39.752)	Prec@2 100.000 (65.761)
Epoch: [0][180/203], lr: 0.01000	Time 0.502 (0.609)	Data 0.000 (0.088)	Loss 1.2623 (2.6022)	Prec@1 62.500 (40.470)	Prec@2 62.500 (65.470)
Epoch: [0][200/203], lr: 0.01000	Time 0.502 (0.598)	Data 0.000 (0.079)	Loss 1.8331 (2.4653)	Prec@1 12.500 (41.294)	Prec@2 37.500 (65.796)
Test: [0/88]	Time 14.198 (14.198)	Loss 2.0378 (2.0378)	Prec@1 0.000 (0.000)	Prec@2 0.000 (0.000)
Test: [20/88]	Time 0.150 (0.847)	Loss 0.4691 (1.1923)	Prec@1 100.000 (56.548)	Prec@2 100.000 (56.548)
Test: [40/88]	Time 0.158 (0.508)	Loss 0.2295 (0.9167)	Prec@1 100.000 (77.439)	Prec@2 100.000 (77.744)
Test: [60/88]	Time 0.141 (0.391)	Loss 1.7395 (1.0726)	Prec@1 0.000 (59.426)	Prec@2 62.500 (69.672)
Test: [80/88]	Time 0.156 (0.332)	Loss 1.3818 (1.2198)	Prec@1 0.000 (44.753)	Prec@2 100.000 (73.611)
Testing Results: Prec@1 44.429 Prec@2 75.429 Loss 1.22294
Best Prec@1: 44.429

Epoch: [1][0/203], lr: 0.01000	Time 14.895 (14.895)	Data 14.388 (14.388)	Loss 0.9815 (0.9815)	Prec@1 75.000 (75.000)	Prec@2 87.500 (87.500)
Epoch: [1][20/203], lr: 0.01000	Time 0.501 (1.192)	Data 0.000 (0.685)	Loss 1.3675 (1.2078)	Prec@1 37.500 (48.214)	Prec@2 50.000 (71.429)
Epoch: [1][40/203], lr: 0.01000	Time 0.501 (0.856)	Data 0.000 (0.351)	Loss 1.2259 (1.2948)	Prec@1 62.500 (40.854)	Prec@2 87.500 (67.073)
Epoch: [1][60/203], lr: 0.01000	Time 0.502 (0.740)	Data 0.000 (0.236)	Loss 0.9771 (1.3081)	Prec@1 37.500 (41.393)	Prec@2 100.000 (68.238)
Epoch: [1][80/203], lr: 0.01000	Time 0.502 (0.682)	Data 0.000 (0.178)	Loss 0.9862 (1.2968)	Prec@1 50.000 (41.512)	Prec@2 87.500 (69.599)
Epoch: [1][100/203], lr: 0.01000	Time 0.501 (0.647)	Data 0.000 (0.142)	Loss 1.3612 (1.3300)	Prec@1 37.500 (40.347)	Prec@2 75.000 (68.193)
Epoch: [1][120/203], lr: 0.01000	Time 0.510 (0.624)	Data 0.000 (0.119)	Loss 1.6264 (1.3193)	Prec@1 50.000 (41.942)	Prec@2 50.000 (68.905)
Epoch: [1][140/203], lr: 0.01000	Time 0.502 (0.607)	Data 0.000 (0.102)	Loss 1.3041 (1.3216)	Prec@1 62.500 (42.553)	Prec@2 87.500 (68.440)
Epoch: [1][160/203], lr: 0.01000	Time 0.502 (0.594)	Data 0.000 (0.090)	Loss 0.7059 (1.3064)	Prec@1 87.500 (44.022)	Prec@2 87.500 (68.789)
Epoch: [1][180/203], lr: 0.01000	Time 0.502 (0.584)	Data 0.000 (0.080)	Loss 1.1814 (1.2769)	Prec@1 50.000 (45.787)	Prec@2 75.000 (69.820)
Epoch: [1][200/203], lr: 0.01000	Time 0.502 (0.576)	Data 0.000 (0.072)	Loss 2.3056 (1.2658)	Prec@1 12.500 (46.269)	Prec@2 25.000 (69.838)
Test: [0/88]	Time 15.295 (15.295)	Loss 2.1635 (2.1635)	Prec@1 0.000 (0.000)	Prec@2 0.000 (0.000)
Test: [20/88]	Time 0.151 (0.875)	Loss 0.3934 (1.3331)	Prec@1 87.500 (51.190)	Prec@2 100.000 (62.500)
Test: [40/88]	Time 0.151 (0.523)	Loss 0.2974 (0.7442)	Prec@1 87.500 (73.780)	Prec@2 87.500 (80.488)
Test: [60/88]	Time 0.150 (0.402)	Loss 1.0459 (0.9575)	Prec@1 75.000 (58.607)	Prec@2 75.000 (68.852)
Test: [80/88]	Time 0.149 (0.339)	Loss 0.7940 (0.8481)	Prec@1 87.500 (64.198)	Prec@2 100.000 (76.389)
Testing Results: Prec@1 66.857 Prec@2 78.143 Loss 0.82307
Best Prec@1: 66.857

