frame 1 : x_562.8252601623535, y_366.3528335094452
frame 2 : x_566.309700012207, y_359.5376193523407
frame 3 : x_569.348258972168, y_360.6826114654541
frame 4 : x_570.336742401123, y_371.5715539455414
frame 5 : x_569.1678047180176, y_398.2932114601135
frame 6 : x_568.6750984191895, y_439.00925159454346
frame 7 : x_568.2175254821777, y_483.01352977752686
frame 8 : x_568.2406425476074, y_502.8616404533386
frame 9 : x_568.9730072021484, y_466.858606338501
frame 10 : x_569.9305152893066, y_434.025514125824
frame 11 : x_570.2179336547852, y_406.1673402786255
frame 12 : x_572.2294425964355, y_385.41797518730164
frame 13 : x_576.2055969238281, y_372.15189814567566
frame 14 : x_579.8224067687988, y_368.14640522003174
frame 15 : x_580.9696006774902, y_375.5675411224365
frame 16 : x_580.8678245544434, y_398.76485109329224
frame 17 : x_579.5750999450684, y_436.77361965179443
frame 18 : x_579.0796661376953, y_480.0553321838379
frame 19 : x_578.1507110595703, y_504.90198612213135
frame 20 : x_576.1420059204102, y_469.1073489189148
frame 21 : x_575.1006698608398, y_436.4260482788086
frame 22 : x_573.0026626586914, y_407.4972438812256
frame 23 : x_572.9459953308105, y_386.7129135131836
frame 24 : x_574.9446868896484, y_371.93793296813965
frame 25 : x_578.4172821044922, y_365.27872681617737
frame 26 : x_579.6157455444336, y_365.68761348724365
frame 27 : x_579.5735931396484, y_379.25517082214355
frame 28 : x_577.3165893554688, y_408.2088232040405
frame 29 : x_571.1028289794922, y_452.9605793952942
frame 30 : x_565.7094192504883, y_501.89194679260254
frame 31 : x_564.659252166748, y_491.95358991622925
frame 32 : x_565.179557800293, y_453.6155104637146
frame 33 : x_565.8292579650879, y_420.0060796737671
frame 34 : x_567.132511138916, y_393.4037375450134
frame 35 : x_569.8613166809082, y_375.3886592388153
frame 36 : x_570.936450958252, y_366.9117844104767
frame 37 : x_572.1933555603027, y_369.81340885162354
frame 38 : x_571.6676902770996, y_386.6399145126343
frame 39 : x_570.8792686462402, y_420.0295114517212
frame 40 : x_569.893798828125, y_461.97121381759644
frame 41 : x_569.5281410217285, y_508.2338047027588
frame 42 : x_569.1894340515137, y_486.2261724472046
frame 43 : x_570.3847122192383, y_450.6297826766968
frame 44 : x_570.1615905761719, y_419.67979431152344
frame 45 : x_571.024227142334, y_396.1289048194885
frame 46 : x_573.8986206054688, y_379.92881298065186
frame 47 : x_578.4764862060547, y_369.4792699813843
frame 48 : x_582.3513603210449, y_369.09621834754944
frame 49 : x_585.086727142334, y_379.9492835998535
frame 50 : x_582.906322479248, y_406.3478207588196
frame 51 : x_578.2919502258301, y_449.97448682785034
frame 52 : x_573.2712173461914, y_496.8490934371948
frame 53 : x_571.6092681884766, y_492.76342391967773
frame 54 : x_570.0845146179199, y_455.411581993103
frame 55 : x_568.4250068664551, y_422.90205001831055
frame 56 : x_568.2719230651855, y_399.22481775283813
frame 57 : x_571.6693496704102, y_381.7628860473633
frame 58 : x_576.0926055908203, y_370.0048542022705
frame 59 : x_580.2373504638672, y_368.0863666534424
frame 60 : x_581.2580490112305, y_380.38809299468994
frame 61 : x_581.0862922668457, y_410.00098943710327
frame 62 : x_576.1240196228027, y_453.99674892425537
frame 63 : x_571.4838600158691, y_502.2286820411682
frame 64 : x_570.7857513427734, y_489.36038732528687
frame 65 : x_570.3934097290039, y_451.0959506034851
frame 66 : x_569.7461891174316, y_416.244056224823
frame 67 : x_569.7905921936035, y_390.9946846961975
frame 68 : x_571.2437057495117, y_373.36934208869934
frame 69 : x_575.2402877807617, y_364.6062219142914
frame 70 : x_578.9614486694336, y_365.04228472709656
frame 71 : x_580.5959701538086, y_379.73294734954834
frame 72 : x_581.3132858276367, y_409.50053215026855
frame 73 : x_578.4325218200684, y_453.47421169281006
frame 74 : x_576.6513252258301, y_499.14761781692505
frame 75 : x_576.6287803649902, y_492.84783840179443
frame 76 : x_576.5020179748535, y_455.5025625228882
frame 77 : x_576.4415740966797, y_422.17201709747314
frame 78 : x_575.3141975402832, y_395.86446046829224
frame 79 : x_577.6629066467285, y_378.22524547576904
frame 80 : x_580.3747749328613, y_369.7172248363495
frame 81 : x_581.4275741577148, y_373.49048137664795
frame 82 : x_582.9331588745117, y_393.9061903953552
frame 83 : x_582.3090744018555, y_431.1268186569214
frame 84 : x_581.873950958252, y_472.6344966888428
frame 85 : x_582.857723236084, y_510.0689721107483
frame 86 : x_582.3652267456055, y_472.34357357025146
frame 87 : x_581.5653800964355, y_439.35768127441406
frame 88 : x_581.7867279052734, y_411.60250425338745
frame 89 : x_581.7227935791016, y_391.740038394928
frame 90 : x_583.4921646118164, y_378.18477630615234
frame 91 : x_585.7105445861816, y_375.2116012573242
frame 92 : x_585.824089050293, y_383.99182319641113
frame 93 : x_582.1909523010254, y_407.46896266937256
frame 94 : x_574.4868278503418, y_446.6970205307007
frame 95 : x_566.8050384521484, y_490.48592805862427
frame 96 : x_564.0704727172852, y_494.29904222488403
frame 97 : x_562.043285369873, y_460.54322719573975
frame 98 : x_559.5956420898438, y_429.49925422668457
frame 99 : x_557.94677734375, y_407.1766448020935
frame 100 : x_561.4151954650879, y_388.66289019584656
frame 101 : x_566.131649017334, y_375.1293754577637
frame 102 : x_572.3184776306152, y_370.08419394493103
frame 103 : x_578.0105018615723, y_374.5324981212616
frame 104 : x_581.0196685791016, y_396.81694507598877
frame 105 : x_582.1025657653809, y_436.8723249435425
frame 106 : x_585.4787635803223, y_482.0696711540222
frame 107 : x_588.2249069213867, y_513.1014776229858
frame 108 : x_587.4378204345703, y_476.06141567230225
frame 109 : x_589.8053359985352, y_442.41434812545776
frame 110 : x_591.1184120178223, y_415.08527755737305
frame 111 : x_593.3319473266602, y_396.4296770095825
frame 112 : x_597.5006484985352, y_387.6840877532959
frame 113 : x_600.1987648010254, y_394.83367681503296
frame 114 : x_600.1696014404297, y_418.5407781600952
frame 115 : x_595.0093841552734, y_459.1509675979614
frame 116 : x_589.5717430114746, y_505.5901551246643
